zts1e	Nuevo Ítem
zts63e	Claymore
zts64e	Solamente los mejores espadachines reciben esta espada [n] Aumenta el poder de ataque del elemento de agua [n][n]
zts65e	Arco Amateur
zts66e	Un presente de Mimi Mentor para todos los aprendices de arquero.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts67e	Arco pequeño
zts68e	Arco pequeño fabricado de madera.[n][n]
zts69e	Arco de Velocidad
zts70e	Un Arco liviano y rápido.[n] El indice de aciertos aumenta notablemente a través de su velocidad. [n][n]
zts71e	Ardo de Bambú
zts72e	Un Arco no muy resistente, fabricado de Bambú. [n][n]
zts73e	Arco Mágico
zts74e	Un arco bendecido con poderes mágicos. [n]Aumenta los danos y el índice de aciertos.[n][n]
zts75e	Arco de madera de roble
zts76e	Fabricado de madera de roble para una mejor resistencia [n][n]
zts77e	Arco de Viento
zts78e	Este Arco recibió su forma a través del poderoso Mago de viento.[n]Su habilidad de Agua fortalece el ataque del arma.[n][n]
zts79e	Arco de Cuerno
zts80e	Un Arco muy solicitado y adornado con un cuerno [n][n]
zts81e	Arco de Piel
zts82e	Un Arco adornado de Cuero de Vaca [n] Causa danos críticos [n][n]
zts83e	Arco de Cacería
zts84e	Típico Arco de Cacería con alta firmeza [n] Apropiado para la Cacería de animales[n][n]
zts85e	Arco del Valor
zts86e	Arma para arqueros valientes [n]Con la ampliación del Elemento de Fuego  aumentan los daños [n][n]
zts87e	Arco Largo
zts88e	Se diferencia por su longitud única [n][n]
zts89e	Arcos de Bronce
zts90e	Estabilidad elevada a través del mango recubierto de placas de bronce [n] Aumenta la Defensa [n][n]
zts91e	Arco de los Espíritus
zts92e	Arco Fortalecido por el Poder des Espíritus[n] Todos los elementos aumentan.[n][n]
zts93e	Varita Mágica Amateur
zts94e	Un presente de Mimi Mentor para todos los aprendices de mago.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts95e	Varita Mágica con Perla Roja
zts96e	Una simple varita mágica cuya punta está decorada con una perla roja.[n][n]
zts97e	Varita Mágica del Espíritu
zts98e	El poder misterioso de la Perla Azul le concede a esta Varita Mágica poderes mágicos adicionales capaces de aumentar tu Mana.
zts99e	Varita Mágica de Rubís
zts100e	Ornado con un rubí grande [n][n]
zts101e	Varita Mágica
zts102e	Esta varita obtiene a través de un polvo misterioso, habilidades especiales que facilitaran los ataques mágicos.[n][n]
zts103e	Varita Mágica Perla Azul
zts104e	Decorado con Perlas Azules de Cristal
zts105e	Varita mágica de la Luz
zts106e	Una luz misteriosa lo rodea [n] Refuerza y regenera la vitalidad[n][n]
zts107e	Varita mágica de Ópalo
zts108e	Decorado con piedras finas de ópalo.[n][n]
zts109e	Varita mágica de Mana
zts110e	Aumenta tu Mana y tu regeneración de Mana.[n][n]
zts111e	Varita Mágica de Corales
zts112e	Adornado con un coral [n][n]
zts113e	Varita Mágica del Honor
zts114e	Qué el honor esté con el dueño [n] No influenciado por el nivel de moral [n][n]
zts115e	Varita Mágica de Cristal
zts116e	Decorado
zts117e	Varita Mágica de la Inteligencia
zts118e	'Esfera del honor' purificada con polvos misteriosos
zts119e	Varita Mágica de la Sombra
zts120e	Esta varita está llena de energía de las tinieblas por lo cual tendrá consecuencias terribles para tu oponente. [n][n]
zts121e	Guantes de Piel
zts122e	Puede retirar la cuerda de arco sin ningún esfuerzo.[n] Aumenta la potencia de ataque a la distancia[n][n]
zts123e	Guantes Resistentes
zts124e	Impide que el arma se resbale.[n] Mejora la fuerza de ataque inmediato [n][n]
zts125e	Zapatos de Aventura
zts126e	Aventureros se lo ponen [n][n]
zts127e	Zapatos de Tacón
zts128e	Fabricado de un buen instrumento [n][n]
zts129e	Zapatos de Piel
zts130e	Elaborado de piel [n][n]
zts131e	Patines
zts132e	Pueden deslizarse muy rápido [n] al principio se utilizaban para bailar [n][n]
zts133e	Espada de Aventuras Avanzadas
zts134e	Lo utilizan los aventureros más avanzados [n][n]
zts135e	La Catapulta Robusta
zts136e	La Catapulta Robusta [n][n]
zts137e	Ballesta Amateur
zts138e	Un presente de Mimi Mentor para todos los aprendices de espadachín.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts139e	Ballesta de Madera de Roble
zts140e	Ballesta Robusta fabricada de Madera de Roble[n][n]
zts141e	Ballesta de las Hadas
zts142e	Ballesta de los Guardianes del Bosque con una índice de acierto más alto[n][n]
zts143e	Guantes Delgados
zts144e	Muy débil para utilizarlo de una manera eficiente [n][n]
zts145e	Guantes de Caucho
zts146e	Tiene Caucho en la parte inferior [n] Puede sostener el material pesado sin dificultad [n][n]
zts147e	Ballesta de Acero
zts148e	Una Ballesta Pesada de Acero fabricada con un Poder de Ataque alto[n][n]
zts149e	Ballesta Obra Maestra
zts150e	La Obra Maestra de un Herrero conocido[n] Una Ballesta lujosa y muy bien equilibrada [n][n]
zts151e	Ballesta de la Sombra
zts152e	Una Ballesta común con un mango cómodo[n][n]
zts153e	Ballesta de Madera de Haya
zts154e	Tiene un buena constancia [n] Puede ser recargado rápidamente [n][n]
zts155e	Ballesta de la Generosidad
zts156e	Lleno de Espíritus Guerreros.[n]Aumenta el nivel de moral [n][n]
zts157e	Puñal de Amateur
zts158e	Un presente de Mimi Mentor para todos los aprendices de arquero.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts159e	Puñal pequeño
zts160e	Puñal pequeño fabricado de acero [n][n]
zts161e	Puñal de Tortura
zts162e	En situaciones drásticas aumenta este puñal la probabilidad de un tiro certero critico[n][n]
zts163e	Puñal Precioso
zts164e	Puñal decorado con joyas[n]Aumenta el Poder de Ataque [n][n]
zts165e	Puñal Obra de Arte
zts166e	La obra de arte de un herrero conocido [n] Un puñal lujoso y muy bien equilibrado [n][n]
zts167e	Daga de Latón
zts168e	Un Puñal común fabricado de latón [n][n]
zts169e	Puñal decorado con Rubís
zts170e	Un Puñal decorado con Rubís[n] El Orgullo de cualquier Arquero [n][n]
zts171e	Puñal de los Espíritus
zts172e	Puñal fortalecido por el Poder del los Espíritus [n] Todos los elementos serán aumentados[n][n]
zts173e	Arma Mágica Amateur
zts174e	Un presente de Mimi Mentor para todos los aprendices de mago.[n] Los aventureros no pueden utilizar esta arma.[n][n]
zts175e	Arma Mágica Pequeña
zts176e	Pequeño, no es tan eficaz [n][n]
zts177e	Arma Mágica Hechizada
zts178e	Utiliza magia, no un poder maligno [n][n]
zts179e	Arma Mágica Dorada
zts180e	Oro eleva el Poder de Magia [n] Aumenta el Poder Mágico de Ataque [n][n]
zts181e	Arma Mágica Obra Maestra
zts182e	Fabricado por el Maestro de las Armas Mágicas.[n] Tiene una alta estabilidad y produce un Ataque Mortal. [n][n]
zts183e	Arma Mágica de Latón
zts184e	Fabricado de latón. [n] Es muy pesado pero muy resistente [n][n]
zts185e	Arma Mágica de la Nobleza
zts186e	Decorado con tallados [n] Aumenta Energía Mágica [n][n]
zts187e	Arma Mágica de las Tinieblas
zts188e	Bueno para Ataques violentos[n] Tiene Poderes grandes [n] [n]
zts189e	Equipamiento del Espadachín Aprendiz
zts190e	Dado a todos los Espadachines en el nivel básico [n][n]
zts191e	Armadura Almohadillada
zts192e	Suma Capas de Tejido[n] No tiene un alto Poder de Defensa [n][n]
zts193e	Armadura de Estepa
zts194e	Añade capas de algodón[n]leve y cálido [n][n]
zts195e	Armadura de piel
zts196e	Fabricado con piel curtida
zts197e	Armadura de la Resistencia
zts198e	Botas de la Fuerza y Resistencia [n][n]
zts199e	Armadura de piel y tachuelas
zts200e	Añade tachuelas a la armadura de piel. [n] No tiene mucha fuerza para defenderse.[n][n]
zts201e	Armadura de piel optimizada
zts202e	Añade una doble capa de piel y las empapa de aceite. [n]Defiende bien y no pesa.[n][n]
zts203e	Armadura de Escamas
zts204e	Tejido con escamas de metal[n][n]
zts205e	Armadura de la Moral
zts206e	Esta armadura refuerza tu moral.[n][n]
zts207e	Armadura de Chapa
zts208e	Añade planchas de acero en la parte interior de la armadura [n][n]
zts209e	Armadura Dorada de Tachuelas
zts210e	Muy hermoso y decorado con tachuelas doradas [n] Pesado pero muy apropiado para la defensa contra los magos [n][n]
zts211e	Brigandine
zts212e	Tiene planchas de acero más macizas que la "Armadura de Chapas"
zts213e	Armadura de la Brevedad
zts214e	Aumenta el Poder de Ataque [n][n]
zts215e	Túnica de arquero principiante
zts216e	Dado a todos los arqueros principiantes [n][n]
zts217e	Túnica de piel de cordero
zts218e	Fabricado de piel de cordero [n][n]
zts219e	Túnica de Veloa
zts220e	Piel rugosa y muy confortable de llevar.[n] Aumenta en algo la probabilidad de aciertos desastrosos para todas las armas [n][n]
zts221e	Bata de piel de cabra
zts222e	Fabricado de piel de cabra [n][n]
zts223e	Túnica de Escapatoria
zts224e	Muy liviano y confortable, como si no llevaras nada [n] Le añade escapatoria a tu lucha cuerpo a cuerpo [n] [n]
zts225e	Túnica de piel de ternero
zts226e	Fabricado de piel de ternero [n][n]
zts227e	Bata de piel de venado
zts228e	Piel rugosa [n] muy calurosa y confortable. Regenera el nivel de HP y MP [n][n]
zts229e	Túnica de piel de vaca
zts230e	Fabricado de piel de vaca [n][n]
zts231e	Túnica de Visión
zts232e	Tiene un alto alcance visual para aumentar tu poder de ataque [n][n]
zts233e	Túnica de Peccary
zts234e	Fabricado de piel de puerco [n][n]
zts235e	Túnica de Nubuk
zts236e	Piel de vaca rugosa.[n] Muy fuerte para la lucha cuerpo a cuerpo [n][n]
zts237e	Bata de Toscana
zts238e	Tiene un pelaje muy suave [n][n]
zts239e	Túnica del Alma
zts240e	Protegido por Espíritus.[n]Tiene fuerte poder de defensa [n][n]
zts241e	Vestimenta del Mago Aprendiz
zts242e	Entregado a todos los magos [n][n]
zts243e	Vestimenta de Algodón
zts244e	Fabricado de algodón [n][n]
zts245e	Vestimenta Mágica de Algodón
zts246e	Lleno de poder mágico.[n] Regenera de nivel de HP [n][n]
zts247e	Vestimenta de Lino
zts248e	Ropaje Delgado de Mallas [n] Bloquea el ataque a larga distancia [n][n]
zts249e	Ropaje de Recuperación
zts250e	Concentra tu mente [n]Restablece el nivel de MP y puede bloquear la lucha cuerpo a cuerpo[n][n]
zts251e	Ropaje de Tweed
zts252e	Hecho de hilo grueso [n] Te protege en las luchas cuerpo a cuerpo y ofrece resistente contra el elemento del fuego [n][n]
zts253e	Vestimenta Optimizada de Lino
zts254e	Una mezcla de algodón y lino para aumentar la capacidad de resistencia.[n] Absorbe aciertos en lucha cuerpo a cuerpo.[n][n]
zts255e	Ropaje de Musselin
zts256e	liviano, cálido y elástico [n][n]
zts257e	Ropaje Elemental
zts258e	Aumenta la resistencia contra todos los elementos [n][n]
zts259e	Vestimenta de Seda
zts260e	Vestimenta lujosa hecha de seda [n][n]
zts261e	Ropaje estampado a cuadros
zts262e	Tiene un diseño único, el cual aumenta los efectos mágicos[n][n]
zts263e	Ropaje de Espinas de Pescado
zts264e	Tela con un estampado lujoso. Se ve muy intelectual [n][n]
zts265e	Vestimenta de las Tinieblas
zts266e	Sentencia a todos los que te atacan [n][n]
zts267e	Abrigo de Antiguos Aventureros
zts268e	Muy popular entre antiguos aventureros [n][n]
zts269e	Máscara de Duende (GM)
zts270e	Gladiador
zts271e	Espada corta para los gladiadores[n]Tiene una alta probabilidad de acertar golpes desastrosos y además aumenta el nivel de moral [n][n]
zts272e	Espada Wallonica
zts273e	Tiene un poder de ataque que es estable [n][n]
zts274e	Sable de los Vikingos
zts275e	Espada de un guerrero feroz. [n] Llena de energía de las tinieblas [n][n]
zts276e	Malchus
zts277e	Aquellos que utilizan esta espada, experimentaran una moral alta [n][n]
zts278e	Katzbalger
zts279e	Tiene una alta probabilidad para aciertos críticos e intensifica los daños [n][n]
zts280e	Espada del Caballero
zts281e	Espada del caballero valiente [n] Aumenta la energía de la luz [n][n]
zts282e	Homicida
zts283e	Tiene un inmenso poder para aciertos críticos [n][n]
zts284e	Arco de la Vida
zts285e	Un arco fino e inestable pero causa aciertos críticos.[n][n]
zts286e	Arco de Llamas
zts287e	Un arco lleno de energía poderosa de fuego, con la que aumenta más daños. [n][n]
zts288e	Arco Sintético
zts289e	Un arco resistente y firme que puede ocasionar daños mortales.[n][n]
zts290e	Arco Doble
zts291e	Por medio del ataque del elemento de fuego, este arco causa daños adicionales.[n][n]
zts292e	Arco Salvaje
zts293e	Por medio de la presencia de la energía de las tinieblas aumentan los daños y tu nivel de moral.[n][n]
zts294e	Arco Largo
zts295e	Por medio del elemento del agua causa este arco daños inmensos.[n] La probabilidad de causar aciertos críticos disminuye.[n][n]
zts296e	Arco de Asedio
zts297e	Debido a la unión con el elemento de fuego causa daños críticos muy poderosos.[n][n]
zts298e	Varita Mágica de la Vida
zts299e	Sopla la energía de vida de su utilizador [n]
zts300e	Varita Mágica de las Llamas
zts301e	Lleno de una alta energía de fuego [n] pero tiene una energía baja de agua [n][n]
zts302e	Vara Mágica Helada
zts303e	Contiene energía concentrada de agua [n][n]
zts304e	Vara Mágica de Loon
zts305e	Utilizando magia, se amplifica los daños [n][n]
zts306e	Varita Mágica
zts307e	Lleno de 2 energías [n] Reduce el consumo de Mana para conjuros [n][n]
zts308e	Varita Mágica Bendita
zts309e	Protegido por poderes benditos [n][n]
zts310e	Varita Mágica del Alma
zts311e	El intenso poder del Espíritu protege a los conspiradores [n][n]
zts312e	Ballesta de Combate
zts313e	Creado para el combate y muy eficiente [n][n]
zts314e	Ballesta de Asedio
zts315e	Lleno de energía de fuego y tiene un alto poder de ataque [n][n]
zts316e	Puñal de Highlander
zts317e	Un puñal muy peligroso y con una alta probabilidad de marcar aciertos críticos.[n][n]
zts318e	Puñal de Poignard
zts319e	Un puñal lleno de energía de la tinieblas.[n][n]
zts320e	Varita Mágica de las Hadas
zts321e	Tiene el máximo poder de ataque.[n][n]
zts322e	Varita Mágica de Bronce
zts323e	Adicionada con la energía del agua [n][n]
zts324e	Armadura de Seguridad
zts325e	Muy fuerte para armaduras de seguridad [n][n]
zts326e	Armadura Dura de Piel
zts327e	Tiene un alto poder de defensa y es resistente contra el fuego.[n][n]
zts328e	Armadura del Vencedor
zts329e	Tiene la habilidad de esquivar ataques de larga distancia [n][n]
zts330e	Armadura del Velador
zts331e	Disminuye los daños de la lucha cuerpo a cuerpo con la protección de la luz [n][n]
zts332e	Armadura de Caballero
zts333e	Armadura para caballeros. Tiene un alto poder de escapada y bloqueo [n][n]
zts334e	Armadura de Estrella
zts335e	Una armadura especial con la habilidad de absorción y bloqueo [n][n]
zts336e	Túnica Relámpago
zts337e	Refuerza la defensa contra ataques mágicos y de larga distancia y [n][n]
zts338e	Túnica de la Naturaleza
zts339e	Lleno de energía de la naturaleza y aumenta el nivel de HP y MP [n][n]
zts340e	Túnica de Tiburones
zts341e	Bloquea los ataques mágicos y de lucha cuerpo a cuerpo [n][n]
zts342e	Túnica del Aliento
zts343e	Lleno del aliento de los muertos [n][n]
zts344e	Túnica del Viento
zts345e	Bloquea todo tipo de ataque [n][n]
zts346e	Túnica de Dryad
zts347e	Contiene todo tipo de energías y resistencias [n] Disminuye el consumo de Mana [n][n]
zts348e	Vestimenta del Principiante
zts349e	Refuerza el poder de defensa de la lucha cuerpo a cuerpo y de larga distancia [n][n]
zts350e	Vestimenta de Terneza
zts351e	Bloquea ataques de larga distancia [n][n]
zts352e	Vestimenta de la Pureza
zts353e	Es bueno para la defensa en lucha cuerpo a cuerpo y resistente contra fuego[n][n]
zts354e	Vestimenta Adornada
zts355e	Lleno de resistencia contra la luz y el agua [n][n]
zts356e	Vestimenta Mágica
zts357e	Consumo leve de Mana para invocados [n][n]
zts358e	Vestimenta de la Fuente
zts359e	Tiene una probabilidad segura de bloquear todos los ataques [n][n]
zts360e	Amuleto de Nivel de Ataque
zts361e	Amuleto de Nivel de Defensa
zts362e	Amuleto de Nivel de Ataque y Defensa
zts363e	Amuleto de Poder de Ataque
zts364e	Amuleto de Poder de Defensa
zts365e	Amuleto para disminuir enfermedad
zts366e	Amuleto de Resistencia al Fuego
zts367e	Amuleto de Resistencia a la Luz
zts368e	Amuleto de Resistencia al Agua
zts369e	Amuleto de Resistencia a las Tinieblas
zts370e	Amuleto para todas las Resistencias
zts371e	Amuleto de Acierto Crítico
zts372e	Amuleto de Daño Crítico
zts373e	Amuleto de Absorción Corporal
zts374e	Amuleto de Absorción Mágica
zts375e	Amuleto de Absorción de Ataque a larga distancia
zts376e	Amuleto contra todo los Ataques de Absorción
zts377e	Amuleto de Bloqueo Físico
zts378e	Amuleto de Bloqueo Mágico
zts379e	Amuleto de Bloqueo del Ataque a larga distancia
zts380e	Diadema
zts381e	Protege la cabeza contra ataques fuertes[n]
zts382e	Sombrero Blando
zts383e	Este es un sombrero blando [n][n]
zts384e	Hojas para el Disfraz
zts385e	Pero, parece ser nada útil [n][n]
zts386e	Mandra Protector de Oído
zts387e	Esta bien ajustado a los oídos [n]Protege contra el grito de Mandra con una probabilidad segura [n][n]
zts388e	Sombrero de Hipopótamo
zts389e	Un sombrero muy blando en forma de hipopótamo[n] Protege contra aturdimiento con una alta probabilidad [n][n]
zts390e	Gafas Modernas
zts391e	Máscara de Duende
zts392e	Máscara de cara de duende. [n] Aunque ataques a un duende minero, los otros duendes no te atacaran [n]
zts393e	Sombrero de Cornamenta
zts394e	Aumenta el nivel de HP [n] Te protege del Grito de Mandra con una probabilidad segura [n][n]
zts395e	Sombrero de Desatascador
zts396e	Diadema
zts397e	Detiene hemorragias con alta probabilidad [n][n]
zts398e	Antenas
zts399e	Venda del Oráculo
zts400e	Sombrero de Pooh Pooh
zts401e	Sombrero de Caperuza
zts402e	Cuerno del Búfalo de Agua
zts403e	Gafas rectangulares
zts404e	Máscara Guiñona
zts405e	Máscara Golpeadora
zts406e	Monóculo
zts407e	Máscara X
zts408e	Barba y Maquillaje
zts409e	Amuleto para bloquear todos los Golpes
zts410e	Amuleto de Energía de Fuego
zts411e	Amuleto de Energía de Agua
zts412e	Amuleto de Energía de la Luz
zts413e	Amuleto de Energía de las Tinieblas
zts414e	Amuleto para elevar la Energía de las Tinieblas
zts415e	Pollito Pequeño
zts417e	Pollito Recién Nacido
zts418e	Pollito
zts419e	Amuleto de Protección de Apuestas (Arma)
zts420e	Conservarlo junto a tu cuerpo y si la apuesta falla, [n] éste desaparece en vez de tu arma [n](Se puede utilizar 3 veces)[n][n]
zts421e	Amuleto de Protección de Apuesta (Armadura)
zts422e	Conservarlo junto a tu cuerpo y si la apuesta falla, [n] éste desaparece en vez de tu armadura [n](Se puede utilizar 3 veces)[n][n]
zts423e	Amuleto para ascender a niveles espaciales
zts424e	Conservarlo y en el tiempo de apuesta ascenderás un nivel especial [n] (Ningún fallo) [n][n]
zts425e	Amuleto para reforzar el nivel de armas escogidas
zts426e	Si lo conservas, podrás reforzar tu arma del nivel fijado. El refuerzo se realiza a velocidad normal,[n]sin embargo, podrás obtener nuevamente el nivel fijado[n] Si tienes éxito al reforzarlo, el nivel será liberado.[n]Si fallas, el ítem puede desaparecer [n]¡Por lo tanto ten cuidado![n](Se puede utilizar 2 veces) [n][n]
zts427e	Amuleto para reforzar armaduras
zts428e	Si lo conservas, podrás reforzar tu armadura del nivel fijado. El refuerzo se realiza a velocidad normal,[n]sin embargo, podrás obtener nuevamente el nivel fijado[n] Si tienes éxito al reforzarlo, el nivel será liberado.[n]Si fallas, el ítem puede desaparecer [n]¡Por lo tanto ten cuidado![n](Se puede utilizar 2 veces) [n][n]
zts429e	Espada del Caballero Elvin
zts430e	Llena de energía sagrada bendita [n][n]
zts431e	Gloriosa
zts432e	Llena de poder espiritual [n] y proporcionada con todas las habilidades  características de la energías y resistencias [n][n]
zts433e	Mano
zts434e	El ataque parte por la mitad la resistencia del oponente[n] y disminuye los daños de un acierto crítico [n][n]
zts435e	Arco Rojo
zts436e	La lucha cuerpo a cuerpo se aumenta y el poder de vida de tu oponente es exprimido.[n][n]
zts437e	Arco de la Paz
zts438e	El poder de la naturaleza genera una alta energía que aumenta notablemente los daños.[n][n]
zts439e	Arco Majestuoso
zts440e	Abarca todos los elementos que necesita el dueño para padecer pocos daños por ataques mágicos.[n][n]
zts441e	Varita Mágica Legendaria
zts442e	Tiene energía de fuego [n] Puede robar las almas de los oponentes [n][n]
zts443e	Vara Mágica del Espíritu
zts444e	La vara esta escondida. Aumenta el rasgo característico del dueño  y disminuye la resistencia del oponente
zts445e	Varita Mágica Majestuosa
zts446e	El sabio la lleva por lo general para protegerse [n][n]
zts447e	Ropaje Azul Sabio
zts448e	Ropaje de Prueba
zts449e	Querido
zts450e	No se desarrolla pero tiene 30 de energía de luz [n]Cuando esta de buenas, bendice al personaje [n][n]
zts451e	Sellaim
zts452e	El Hada del Fuego crece hasta el nivel 70.[n] ¡Entre jugadores no es comerciable![n][n]
zts453e	Woondine
zts454e	El Hada del Agua crece hasta el nivel 70.[n] ¡Entre jugadores no es comerciable![n][n]
zts455e	Eperial
zts456e	El Hada de la Luz crece hasta el nivel 70.[n] ¡Entre jugadores no es comerciable![n][n]
zts457e	Turik
zts458e	El Hada de las Tinieblas crece hasta el nivel 70.[n] ¡Entre jugadores no es comerciable![n][n]
zts459e	Sellaim Grande
zts460e	Woondine Grande
zts461e	Eperial Grande
zts462e	Turik Grande
zts463e	Amuleto Bendito
zts465e	Amuleto de la Protección
zts467e	Amuleto del Refuerzo
zts468e	Puede reforzar el equipamiento en el nivel fijado [n] No obstante, este no protege al equipamiento de una destrucción. Para evitar la destrucción del equipamiento, se necesita un Pergamino de Protección del Equipamiento a la vez. Se utiliza normalmente para armas y equipamientos [n] (Puede ser utilizado 3 veces)[n][n]
zts469e	Perla mascota
zts470e	Con este ítem puedes[n]colocar a tu mascota en una perla[n]y guardarla en el inventario[n]o en el almacén.[n]Las mascotas que han sido[n]colocadas en la perlas, pueden ser intercambiadas[n]con otros jugadores[n][n]Instrucciones:[n]Escoge a tu mascota y haz clic[n]dos veces en la perla.[n][n]Advertencia:[n]el nombre de la mascota[n]desaparecerá si la mascota es colocada en esta perla. Si el nivel de la mascota[n]es más alto que el tuyo,[n]puedes liberarla en el Mini-mundo pero no puedes llevarla contigo a misiones.[n][n]
zts471e	Perla del Compañero
zts472e	Con este ítem puedes[n]colocar a tu compañero en una perla[n]y guardarlo en el inventario[n]o en el almacén.[n]Los compañeros que han sido[n]colocados en la perlas, pueden ser intercambiados[n]con otros jugadores[n][n]Instrucciones:[n]Escoge a tu compañero y haz clic[n]dos veces en la perla.[n][n]Advertencia:[n]el nombre del compañero[n]desaparecerá si el compañero es colocado en esta perla. Si tu[n]compañero tiene[n]un nivel más alto que el tuyo,[n]puedes liberarlo en el Mini-mundo pero no puedes llevarlo contigo a misiones.[n][n]
zts473e	Portatarjetas del especialista
zts474e	Sirve para almacenar una Tarjeta del especialista.[n] Se puede intercambiar entre jugadores.[n][Cómo utilizarla] Equípate con la Tarjeta del Especialista que desees guardar.[n] Después haz doble clic en el Portador de la Tarjeta del Especialista para que ésta se desprenda de tu cuerpo y se traslade al Portador.[n] Si la quieres extraer, haz doble clic en el Portador.[n][Advertencia] Si la Tarjeta del especialista todavía tiene puntos de habilidad tienes que distribuirlos primero para guardarla con éxito. [n] Si extraes una Tarjeta del Portador, ésta desaparecerá.[n][n]
zts475e	Amuleto para la Inauguración de NosMall
zts476e	Scrammer
zts477e	Kris
zts478e	Ballesta de Winslet
zts479e	Ballesta de Balenty
zts480e	Arma Mágica de Plaz
zts481e	Arma Mágica de la Luz
zts482e	Mirada del Guardián
zts483e	Paso de la brisa
zts484e	Defensor Intrépido
zts485e	Defensor Magnífico
zts486e	Montaña Fogosa
zts487e	El poder fuerte de daño se encuentra oculto [n][n]
zts488e	Arco del Poder
zts489e	Este arco causa a precisos monstruos a través de un ataque potente un daño muy grande .[n][n]
zts490e	Varita Mágica de Kai
zts491e	Llevada por magos muy destacados
zts492e	Caja del raid
zts493e	¿Qué hay en el baúl?Descubrelo, abriendo el baúl con doble clic. En caso de que el ítem recibido, sea un ítem de equipamiento, este obtendrá el mismo nivel de rareza que el del baúl.[n][n]
zts494e	Collar Antiguo de Oriharcon
zts495e	Collar Precioso de Oriharcon
zts496e	Anillo Antiguo de Oriharcon
zts497e	Anillo Precioso de Oriharcon
zts498e	Brazalete Antiguo de Oriharcon
zts499e	Brazalete Precioso de Oriharcon
zts500e	Collar Antiguo de Cristal
zts501e	Anillo Antiguo de Cristal
zts502e	Brazalete Antiguo de Cristal
zts503e	Collar Antiguo de Diamantes
zts504e	Anillo Antiguo de Diamantes
zts505e	Brazalete Antiguo de Diamantes
zts506e	Guante con Llamas
zts507e	Guantes de Tormenta
zts508e	Guantes Divinos
zts509e	Guantes de Muerte
zts510e	Zapatos de Fuego
zts511e	Zapatos Ondulados
